Query,DB_Seq,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
3BZJ:A,3S8F:A_5NDC:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3BZJ:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3BZJ:A,4G7S:A,87.5,8,1,0,6,13,2,9,0.001,29.2
3BZJ:A,4G7S:A,100,7,0,0,3,9,2,8,0.002,28.7
3BZJ:A,4G7S:A,100,7,0,0,4,10,2,8,0.002,28.7
3BZJ:A,4G7S:A,100,7,0,0,5,11,2,8,0.002,28.7
3BZJ:A,4G7S:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3BZJ:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3BZJ:A,3S8G:A,87.5,8,1,0,6,13,2,9,0.001,29.2
3BZJ:A,3S8G:A,100,7,0,0,3,9,2,8,0.002,28.7
3BZJ:A,3S8G:A,100,7,0,0,4,10,2,8,0.002,28.7
3BZJ:A,3S8G:A,100,7,0,0,5,11,2,8,0.002,28.7
3BZJ:A,3S8G:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3BZJ:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3C0S:A,3S8F:A_5NDC:A,87.5,8,1,0,6,13,2,9,0.001,29.2
3C0S:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.002,28.7
3C0S:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.002,28.7
3C0S:A,3S8F:A_5NDC:A,100,7,0,0,5,11,2,8,0.002,28.7
3C0S:A,3S8F:A_5NDC:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3C0S:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3C0S:A,4G7S:A,87.5,8,1,0,6,13,2,9,0.001,29.2
3C0S:A,4G7S:A,100,7,0,0,3,9,2,8,0.002,28.7
3C0S:A,4G7S:A,100,7,0,0,4,10,2,8,0.002,28.7
3C0S:A,4G7S:A,100,7,0,0,5,11,2,8,0.002,28.7
3C0S:A,4G7S:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3C0S:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3C0S:A,3S8G:A,87.5,8,1,0,6,13,2,9,0.001,29.2
3C0S:A,3S8G:A,100,7,0,0,3,9,2,8,0.002,28.7
3C0S:A,3S8G:A,100,7,0,0,4,10,2,8,0.002,28.7
3C0S:A,3S8G:A,100,7,0,0,5,11,2,8,0.002,28.7
3C0S:A,3S8G:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3C0S:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3D8N:A,3S8F:A_5NDC:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8N:A,4G7S:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8N:A,4FA7:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8N:A,3S8G:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8N:A,1XME:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8R:A,3S8F:A_5NDC:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8R:A,4G7S:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8R:A,4FA7:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8R:A,3S8G:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8R:A,1XME:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8T:A,3S8F:A_5NDC:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8T:A,4G7S:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8T:A,4FA7:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8T:A,3S8G:A,100,7,0,0,1,7,1,7,0.004,27.3
3D8T:A,1XME:A,100,7,0,0,1,7,1,7,0.004,27.3
3RIJ:A,3S8F:A_5NDC:A,75,8,2,0,158,165,1,8,0.008,25.7
3RIJ:A,4G7S:A,75,8,2,0,158,165,1,8,0.008,25.7
3RIJ:A,3S8G:A,75,8,2,0,158,165,1,8,0.008,25.7
3SKD:A,3S8F:A_5NDC:A,66.67,12,4,0,1,12,1,12,0.001,29.3
3SKD:A,4G7S:A,66.67,12,4,0,1,12,1,12,0.001,29.3
3SKD:A,3S8G:A,66.67,12,4,0,1,12,1,12,0.001,29.3
3SKD:A,4FA7:A,70,10,3,0,3,12,2,11,0.004,27.4
3SKD:A,1XME:A,70,10,3,0,3,12,2,11,0.004,27.4
3T3O:A,3S8F:A_5NDC:A,77.78,9,2,0,1,9,1,9,0.009,27.4
3T3O:A,4G7S:A,77.78,9,2,0,1,9,1,9,0.009,27.4
3T3O:A,3S8G:A,77.78,9,2,0,1,9,1,9,0.009,27.4
3VV5:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.001,28.7
3VV5:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.001,28.7
3VV5:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.005,26.9
3VV5:A,4G7S:A,100,7,0,0,3,9,2,8,0.001,28.7
3VV5:A,4G7S:A,100,7,0,0,4,10,2,8,0.001,28.7
3VV5:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.005,26.9
3VV5:A,3S8G:A,100,7,0,0,3,9,2,8,0.001,28.7
3VV5:A,3S8G:A,100,7,0,0,4,10,2,8,0.001,28.7
3VV5:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.005,26.9
3VVD:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.001,28.7
3VVD:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.001,28.7
3VVD:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.005,26.9
3VVD:A,4G7S:A,100,7,0,0,3,9,2,8,0.001,28.7
3VVD:A,4G7S:A,100,7,0,0,4,10,2,8,0.001,28.7
3VVD:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.005,26.9
3VVD:A,3S8G:A,100,7,0,0,3,9,2,8,0.001,28.7
3VVD:A,3S8G:A,100,7,0,0,4,10,2,8,0.001,28.7
3VVD:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.005,26.9
4BHR:A,3S8F:A_5NDC:A,75,8,2,0,88,95,1,8,0.004,25.7
4BHR:A,3S8F:A_5NDC:A,100,6,0,0,90,95,2,7,0.007,24.8
4BHR:A,4G7S:A,75,8,2,0,88,95,1,8,0.004,25.7
4BHR:A,4G7S:A,100,6,0,0,90,95,2,7,0.007,24.8
4BHR:A,3S8G:A,75,8,2,0,88,95,1,8,0.004,25.7
4BHR:A,3S8G:A,100,6,0,0,90,95,2,7,0.007,24.8
4BHR:A,4FA7:A,100,6,0,0,90,95,2,7,0.007,24.8
4BHR:A,1XME:A,100,6,0,0,90,95,2,7,0.007,24.8
4YQZ:A,4FA7:A,87.5,8,1,0,1,8,1,8,0.003,27.8
4YQZ:A,1XME:A,87.5,8,1,0,1,8,1,8,0.003,27.8
4YQZ:A,3S8F:A_5NDC:A,100,7,0,0,1,7,1,7,0.004,27.3
4YQZ:A,4G7S:A,100,7,0,0,1,7,1,7,0.004,27.3
4YQZ:A,3S8G:A,100,7,0,0,1,7,1,7,0.004,27.3
5G25:A,3S8F:A_5NDC:A,75,8,2,0,90,97,1,8,0.003,26.1
5G25:A,3S8F:A_5NDC:A,100,6,0,0,92,97,2,7,0.006,25.2
5G25:A,4G7S:A,75,8,2,0,90,97,1,8,0.003,26.1
5G25:A,4G7S:A,100,6,0,0,92,97,2,7,0.006,25.2
5G25:A,3S8G:A,75,8,2,0,90,97,1,8,0.003,26.1
5G25:A,3S8G:A,100,6,0,0,92,97,2,7,0.006,25.2
5G25:A,4FA7:A,100,6,0,0,92,97,2,7,0.006,25.2
5G25:A,1XME:A,100,6,0,0,92,97,2,7,0.006,25.2
5G2F:A,3S8F:A_5NDC:A,75,8,2,0,88,95,1,8,0.004,25.8
5G2F:A,3S8F:A_5NDC:A,100,6,0,0,90,95,2,7,0.007,24.9
5G2F:A,4G7S:A,75,8,2,0,88,95,1,8,0.004,25.8
5G2F:A,4G7S:A,100,6,0,0,90,95,2,7,0.007,24.9
5G2F:A,3S8G:A,75,8,2,0,88,95,1,8,0.004,25.8
5G2F:A,3S8G:A,100,6,0,0,90,95,2,7,0.007,24.9
5G2F:A,4FA7:A,100,6,0,0,90,95,2,7,0.007,24.9
5G2F:A,1XME:A,100,6,0,0,90,95,2,7,0.007,24.9
5U7N:A,1XME:B_3S8F:B_3S8G:B_4FA7:B_4G7S:B_5NDC:B,97.25,109,3,0,5,113,44,152,1.00E-74,263
5U7N:A,1XME:B_3S8F:B_3S8G:B_4FA7:B_4G7S:B_5NDC:B,83.33,12,2,0,113,124,157,168,0.009,25
6FK3:A,4FA7:A,47.37,19,10,0,1,19,1,19,0.003,29.1
6FK3:A,1XME:A,47.37,19,10,0,1,19,1,19,0.003,29.1
6FK3:A,3S8F:A_5NDC:A,100,7,0,0,1,7,1,7,0.009,27.3
6FK3:A,4G7S:A,100,7,0,0,1,7,1,7,0.009,27.3
6FK3:A,3S8G:A,100,7,0,0,1,7,1,7,0.009,27.3
6FKU:A,4FA7:A,47.37,19,10,0,1,19,1,19,0.002,29.1
6FKU:A,1XME:A,47.37,19,10,0,1,19,1,19,0.002,29.1
6FKU:A,3S8F:A_5NDC:A,100,7,0,0,1,7,1,7,0.009,27.3
6FKU:A,4G7S:A,100,7,0,0,1,7,1,7,0.009,27.3
6FKU:A,3S8G:A,100,7,0,0,1,7,1,7,0.009,27.3
